city,habitat,tp_mean,tw_mean,tp_sd,tw_sd,taj,taj_sd,nSites
Canberra,r,0.03009022669492584,0.034896244515225626,0.0029116212841569723,0.0026202451376373323,-0.5112523125,0.09459701200899089,155027
Canberra,u,0.03103251841550983,0.04112785696947374,0.004227063973431241,0.0038598256327241004,-0.8752905625,0.1701560290055253,71790
Cape_Town,r,0.029378235908616965,0.034732677988604264,0.001536439358587413,0.001204571189301183,-0.535271875,0.06996046137438393,558571
Cape_Town,u,0.022195350602670666,0.026998563648668455,8.915798703172071e-4,6.651307926273915e-4,-0.6175471875,0.05034675520192438,3157154
Christchurch,r,0.02641199407725076,0.03148593468441542,0.0012271662172436363,9.53411756561521e-4,-0.55388,0.059998592186817176,1272358
Christchurch,u,0.028556214924603515,0.033821789854336905,0.0014457045026869883,0.0010195383325704015,-0.535271875,0.07509920979422265,1019560
Hiroshima,r,0.027548540687721015,0.04426109955026085,0.02793024245455484,0.052242410369668695,-0.7507926428571429,0.7198608977654168,1819
Hiroshima,u,0.026569865105459396,0.045773522761170644,0.0067255033951988345,0.007808030197037477,-1.4609631250000001,0.28362137356738476,20558
Kunming,r,0.022216684876301903,0.020374956057356113,0.0010447383096646341,7.522115041894712e-4,0.3176073125,0.05574478820208965,2563324
Kunming,u,0.023616796343841253,0.0226528589848097,0.0011712105831604377,7.978255310997934e-4,0.14812375,0.06522343807916496,2102359
Kyoto,r,0.014607495323656799,0.022506633763656827,0.004398283975671217,0.00376443351786849,-1.1254496875,0.4900578787772888,6047
Kyoto,u,0.021089299944214077,0.029731407470094173,0.00666883654501554,0.006443877597766026,-1.0933758125,0.3795453959649128,15946
Landshut,r,0.02489212253457482,0.026192362728902803,0.0012070347013341661,8.710002714388503e-4,-0.1718104375,0.06632415372091703,2002804
Landshut,u,0.027622860511247523,0.02958616083528182,0.001380523419617503,0.0010156805467565512,-0.22929375,0.06868126873755319,1249833
Linkoping,r,0.0352031395267786,0.03958853261353925,0.0025289543020832936,0.001715922452538745,-0.382860375,0.11980581850025761,258017
Linkoping,u,0.033402621941828664,0.036510842666258196,0.0031766694284858293,0.0021881594208048253,-0.2973729375,0.15511840557435203,181553
Loja,r,0.02225706247471094,0.021603583283436246,9.448283288641582e-4,7.315814594469983e-4,0.109581375,0.04619920073316565,2928570
Loja,u,0.022501250300608802,0.02193498669432167,0.0010677007937426007,7.730304657008395e-4,0.091527375,0.05965219271284167,2778376
Medellin,r,0.026859104291562425,0.034717278583837864,0.005144134164924701,0.005296404708101049,-0.8310203125,0.21080082352739796,35270
Medellin,u,0.02885695562056969,0.029208211121953254,0.0016378756271713472,0.0011694090250129743,-0.04620075,0.07829567623694172,553707
Melbourne,r,0.024347547905459347,0.03806129934538261,0.009001199664635872,0.011130533852094771,-1.2767004375,0.44697922664436635,14463
Melbourne,u,0.03169998026245817,0.04027962770024388,0.005821672064838531,0.005104396858162529,-0.762871375,0.2251978060120702,60890
Memphis,r,0.01954426034113336,0.019375611273423965,8.099654376567709e-4,6.54657875733263e-4,0.032187125,0.040701668751825563,4313641
Memphis,u,0.02116295818278807,0.020811043618910365,9.978605646478842e-4,7.350124855179717e-4,0.057231125,0.05852971155105755,2685159
Mexico_City,r,0.03016142835392669,0.04124636522419708,0.04460627561076199,0.06528572943575062,-0.451495625,0.6714368711708468,884
Mexico_City,u,0.02122119897425961,0.0227985704594142,8.332982240561303e-4,6.848188082273924e-4,-0.2395149375,0.04089580876890076,4024499
Munich,r,0.024731563601745183,0.027381445827137182,0.0011809939014119906,9.786892893695759e-4,-0.335600125,0.056870192656464015,2030036
Munich,u,0.02474829272117475,0.027692502086946288,0.0011645161276400884,9.128502106679875e-4,-0.3679384375,0.058994241260164546,1772861
Palmerston_North,r,0.027418208242560124,0.028553790997115552,0.001571716120894338,0.0010619152058568722,-0.140842625,0.08869782768769856,889661
Palmerston_North,u,0.021800084668764184,0.02244906706605502,9.590626923908339e-4,7.852003266127555e-4,-0.1008361875,0.04169428650102033,3314601
Paris,r,0.025774150048068312,0.03293835118525134,0.015627266770578997,0.016742947272475047,-0.6841559375,0.7729567252268369,5965
Paris,u,0.004939991774891775,0.00634877950937951,0.007974944215345038,0.005563360637595192,-0.20576733333333333,0.3351220328333148,52
Punta_Arenas,r,0.0212587515745293,0.021733997733456575,0.001031802616760661,7.813972546151693e-4,-0.07778499999999999,0.05428791654011661,3401894
Punta_Arenas,u,0.021981603033702002,0.0223839587976236,0.001001660755575985,7.672866952277517e-4,-0.06506625,0.04910032095957554,2949970
Quito,r,0.023890407833358062,0.026083629812981374,0.0010325810778240164,7.93523026078665e-4,-0.315912875,0.05711260341918118,2973994
Quito,u,0.023185920199512187,0.022925397187920266,0.0010528835882127417,8.131375139351784e-4,0.0430245625,0.05099810039333982,2115248
Sapporo,r,0.024941836243453287,0.0269003590387672,0.001100547242756969,9.031456197553995e-4,-0.2531395,0.05063720711887653,1771654
Sapporo,u,0.024279719830782066,0.025175041216652944,0.0010834226828076918,9.484182701870836e-4,-0.1236013125,0.03867352519182212,2096191
Tehran,r,0.021646478803951548,0.02154207303565088,8.954441006948225e-4,6.820477182211971e-4,0.016295999999999998,0.05874597304893899,3489475
Tehran,u,0.023881621172609148,0.02261002178643159,9.699125610630716e-4,7.120886441846942e-4,0.19483075,0.06608944348633398,1860564
Thessaloniki,r,0.02367304085067283,0.02555338474110294,0.0010028258500039814,8.474097096149155e-4,-0.2541669375,0.04291284202111493,2794891
Thessaloniki,u,0.024906239036908667,0.026985237298567766,0.0010080124352284702,7.483184117294158e-4,-0.2657478125,0.045574879322156925,2009283
Toronto,r,0.02029400574573906,0.020917433170605397,7.863861128461118e-4,6.912974695713199e-4,-0.1042858125,0.03035331074137548,7788243
Toronto,u,0.020336735790533658,0.020311699298169405,7.550555721958557e-4,6.810154347845855e-4,0.0040164375,0.03130163626813301,8002873
Vancouver,r,0.024015636563583388,0.025356703591477573,0.0011549912822073007,9.03669916227362e-4,-0.1844910625,0.048229421490025154,2711100
Vancouver,u,0.027524815546597754,0.028495823279038365,0.00127712416238821,0.0011016725864846802,-0.1184045625,0.053507886360758386,723522
Warsaw,r,0.02492454582157224,0.02609304635606708,0.0012404515601580444,9.531980416950998e-4,-0.1606225,0.051963699556517334,1728652
Warsaw,u,0.025949229601143434,0.02730448169889094,0.0015258461051435312,9.974904110321126e-4,-0.1748734375,0.07941180164431376,1566429
